 ;Feeder On;Feedrate;Totalizer 1;Totalizer 2;Totalizer 3;;;;;;
2019-07-23 11:28:00;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:03:17;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:04:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:05:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:06:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:07:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:08:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:09:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:10:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:11:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:12:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:13:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:14:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:15:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:16:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:17:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:18:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:19:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:20:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:21:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:22:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:23:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:24:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:25:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:26:00;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:27:00;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:28:00;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:29:01;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:30:01;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:31:01;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:32:01;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:33:01;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:34:01;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:35:01;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:36:01;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:37:01;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:38:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:39:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:40:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:41:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:42:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:43:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:44:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:45:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:46:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:47:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:48:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:49:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:50:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:51:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:52:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:53:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:54:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:55:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:56:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:57:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:58:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 10:59:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 11:00:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 11:01:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 11:02:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 11:03:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 11:04:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-07-31 11:05:04;0;           0;     2392722;     2392722;     2392722;;;;;;
